ID,CITY,LATITUDE,LONGITUDE
1,Aliso Viejo,33.572367,-117.708906
2,Anaheim,33.842679,-117.954035
3,Atwood,33.865556,-117.83
4,Brea,33.9252,-117.8895
5,Buena Park,33.840607,-118.011359
6,Capistrano Beach,33.459115,-117.662657
7,Corona Del Mar,33.602066,-117.874331
8,Costa Mesa,33.677711,-117.909623
9,Cypress,33.818613,-118.038696
10,Dana Point,33.476964,-117.700483
11,East Irvine,33.675833,-117.758889
12,El Toro,33.625833,-117.692778
13,Foothill Ranch,33.666822,-117.664995
14,Fountain Valley,33.710762,-117.952318
15,Fullerton,33.8796,-117.8951
16,Garden Grove,33.7857,-117.9318
17,Huntington Beach,33.7152,-118.0088
18,Irvine,33.7357,-117.7672
19,La Habra,33.932173,-117.949703
20,La Palma,33.849017,-118.040618
21,Ladera Ranch,33.5554,-117.6384
22,Laguna Beach,33.542927,-117.772351
23,Laguna Hills,33.60028,-117.70854
24,Laguna Niguel,33.5225,-117.706667
25,Laguna Woods,33.6087,-117.7311
26,Lake Forest,33.640015,-117.68819
27,Los Alamitos,33.795291,-118.069891
28,Midway City,33.744794,-117.983539
29,Mission Viejo,33.6,-117.6711
30,Newport Beach,33.6398,-117.8643
31,Newport Coast,33.596382,-117.855317
32,Orange,33.7877,-117.8755
33,Placentia,33.881,-117.8553
34,Rancho Santa Margarita,33.651822,-117.588388
35,San Clemente,33.430809,-117.610139
36,San Juan Capistrano,33.511714,-117.657409
37,Santa Ana,33.75016,-117.857665
38,Seal Beach,33.760971,-118.08428
39,Silverado,33.746111,-117.636111
40,Stanton,33.803029,-117.994709
41,Sunset Beach,33.716389,-118.068056
42,Surfside,33.727778,-118.081389
43,Trabuco Canyon,33.663889,-117.589444
44,Tustin,33.7382,-117.8207
45,Villa Park,33.8165,-117.8112
46,Westminster,33.752756,-117.991312
47,Yorba Linda,33.8913,-117.8191
48,Centroid Location,33.70497309,-117.8355721